title,longitude,latitude
"Operation Assistant [Fish farm / 5.5 days / CCK] 9157",103.852,1.29027
"Building Cleaner",103.878,1.32443
"Staff Nurse ",103.846,1.371
"Sales Support, Southeast Asia",103.942,1.35234
"Technical Support Engineer",103.904,1.33642
"Gardener (Full Time/ NTU/ West)",103.681,1.3466
"Gardener (Full Time/ Sentosa Cove/ South)",103.843,1.24374
"#SGUNITEDJOBS Accounts Assistant ",103.968,1.33002
"Customer IT Support Representative (East/ Call Centre) - Part-Time",103.908,1.33497
"IT Project Executive x 2 (Web/ East)",103.908,1.33497
"Data Scientist (Machine Learning/ Fintech)",103.908,1.33497
"Customer Service Executive ($2800  / Freight forwarding)",103.839,1.34868
"Warehouse Assistant",103.696,1.32149
"Accounts Executive (Accounts Receivable)",103.886,1.33568
"Barista Cum Digital Marketing Manager #SGUnitedTraineeships #SGUP - Part-Time",103.836,1.27644
"SERVICE CREW",103.903,1.30842
"Part-Time Service Crew",103.851,1.27876
"Mobile Application Developer",103.84,1.29196
"Sales Associate",103.838,1.28657
"ASUS AICS SG - Product Manager (Healthcare)",103.842,1.27828
"ASUS AICS SG - Early-Stage Business Development and Partnerships for Healthcare",103.964,1.33788
"ASUS AICS SG - AI Computer Vision Engineer",103.842,1.27828
"Operations Associate",103.748,1.33234
"Assistant Restaurant Manager",103.859,1.29601
"Restaurant Manager",103.859,1.29601
"QA ENGINEERING ",103.857,1.36097
"Director - Business Development",103.793,1.30233
"Production Assistant (contract) ",103.81,1.45475
"Senior HR Executive",103.886,1.33568
"PHP Web Developer Intern (East) - Part-Time",103.901,1.33155
"Staff Software Engineer #SGUnitedjobs",103.845,1.27482
"Legal & Compliance Officer",103.849,1.27928
"Assistant Vice President, Regional Core Compliance Testing (1 Year Contract)",103.853,1.27791
"Assistant Manager, Facilities Management (Contract) - Part-Time",103.849,1.28055
"Housekeeping Attendant (Public Area)",103.853,1.29567
"Financial Accountant – Iron Ore with a global MNC (7 to 11 yrs required)",103.852,1.2832
"Finance Mgr with a growing cryptocurrency firm",103.849,1.28505
"Corporate Finance Analyst/ Senior Analyst for a Global Maritime MNC",103.799,1.27483
Chemist,103.723,1.28574
"Production Operator (Chemical)",103.673,1.32877
"Centre Operations Executive",103.888,1.35505
"Assistant Chef (Korean Cuisine)",103.888,1.35505
"Japanese Yakitori Restaurant - Chef & Kitchen Assistant FT",103.841,1.29211
"Waiter/Waitress (Part time/Full time)",103.74,1.33332
"Sales Manager (Textiles)",103.854,1.29848
"Class 3 Delivery Driver",103.834,1.28732
"WAREHOUSE OPERATIONS EXECUTIVE",103.638,1.33148
"Ecommerce Executive",103.867,1.3774
"Hair Stylist",103.853,1.29389
"Senior Devops Engineer",103.85,1.28186
"Business Development Manager",103.814,1.29116
"Temp Warehouse Assistant $9/Hr - Part-Time",103.856,1.29907
"Senior Marketing Manager",103.764,1.32518
"Customer Service Officer, Call Centre",103.808,1.28501
"TAC Engineer - Singapore ",103.845,1.27321
"Administrative Assistant",103.879,1.3294
"Chemistry Deployment Director",103.799,1.27483
"Proto Lab Technical Specialist ",103.805,1.28243
"Senior Sous Chef",103.852,1.29065
"Junior Sous Chef",103.818,1.32216
"Chef de Cuisine",103.854,1.27947
"Warehouse Assistant/ Officer (with forklift license)",104,1.38578
"Classroom Teacher - Part-Time",103.852,1.29027
"Snr Engineer (Business Analyst)",103.848,1.38991
"Personal Assistant",103.868,1.37791
"Class 4/5 Towhead Driver #SGUnitedJobs",103.678,1.26466
"Sales Advisor",103.861,1.28465
"Associate Sommelier",103.854,1.2951
"Welder & Flame Cutter",103.679,1.30913
"Part-Time Enrichment Teacher (Numeracy)",103.904,1.30422
"Office Administrator cum Teaching Support (Full-Time)",103.904,1.30419
"Kindergarten & Primary English Teacher",103.749,1.34965
"Car Washer / Dryer",103.759,1.33863
"Operations Manager – Central Kitchen",103.759,1.33905
"Sales and Application Engineer",103.749,1.34453
"Application Developer",103.697,1.31222
"HR Executive (Recruitment) ➽5 Days",103.724,1.31428
"Supervisor ",103.83,1.43769
"Content Writer",103.812,1.28865
"Site Engineer",103.963,1.33353
"Business Model Redesign and Automation Advisory",103.966,1.33338
"Administration Officer (MOE School)",103.966,1.33338
"CNC Machinist/Setter",103.967,1.35009
"Sales Support Executive",103.965,1.33146
"ECommerce Jr Executive",103.764,1.32518
"Commis Cook (Cuisine / Pastry)",103.816,1.31384
"Head Baker",103.856,1.29839
"Design Engineer ",103.851,1.29119
"Warehouse Worker l 1month l Bonus",103.797,1.30443
"Part-Time Service Crew ($11/Hr)",103.84,1.24715
"Senior/Postdoctoral Associate (Ref: IRG_AMR_2021_007)",103.774,1.304
"Research / Software Engineer ",103.774,1.304
"Business Sales Manager",103.894,1.35871
"Data Analayst",103.805,1.28243
"Head of Family and Psychological Services ",103.93,1.31121
"Executive Officer,Fundraising & Communication Executive",103.902,1.32066
"GL / Consolidation Accountant",103.796,1.33082
"Sales and Marketing Executive ",103.686,1.32565
"Finance Manager (Based in Korea)",103.851,1.28224
"HR Executive",103.866,1.32959
"IT Executive",103.866,1.32959
"Bar Management Trainee",103.853,1.28635
"Chef de Partie (Fine Dining Restaurant)",103.854,1.28619
"Assistant Banquet Manager",103.853,1.28623
Consultant,103.79,1.29925
"Senior/Expert Engineer, Android (Video Streaming)",103.788,1.29986
"HR Manager",103.79,1.29802
"Digital Marketing Intern - Part-Time",103.788,1.29936
